,infected,symptomatic,dead,recovered,alive,susceptible,removed
0,10,10,0,0,1000,990,0
1,52,52,0,2,1000,946,2
2,109,109,0,7,1000,884,7
3,190,190,0,18,1000,792,18
4,253,253,0,38,1000,709,38
5,316,316,0,63,1000,621,63
6,366,366,0,98,1000,536,98
7,413,413,0,139,1000,448,139
8,485,485,0,171,1000,344,171
9,543,543,0,216,1000,241,216
10,578,578,0,273,1000,149,273
11,602,602,0,339,1000,59,339
12,598,598,0,385,1000,17,385
13,562,562,0,433,1000,5,433
14,503,503,0,496,1000,1,496
15,446,446,0,554,1000,0,554
16,401,401,0,599,1000,0,599
17,367,367,0,633,1000,0,633
18,336,336,0,664,1000,0,664
19,309,309,0,691,1000,0,691
20,282,282,0,718,1000,0,718
21,248,248,0,752,1000,0,752
22,214,214,0,786,1000,0,786
23,193,193,0,807,1000,0,807
24,168,168,0,832,1000,0,832
25,155,155,0,845,1000,0,845
26,129,129,0,871,1000,0,871
27,118,118,0,882,1000,0,882
28,111,111,0,889,1000,0,889
29,100,100,0,900,1000,0,900
30,90,90,0,910,1000,0,910
31,84,84,0,916,1000,0,916
32,71,71,0,929,1000,0,929
33,61,61,0,939,1000,0,939
34,57,57,0,943,1000,0,943
35,50,50,0,950,1000,0,950
36,44,44,0,956,1000,0,956
37,43,43,0,957,1000,0,957
38,37,37,0,963,1000,0,963
39,32,32,0,968,1000,0,968
40,29,29,0,971,1000,0,971
41,25,25,0,975,1000,0,975
42,24,24,0,976,1000,0,976
43,21,21,0,979,1000,0,979
44,17,17,0,983,1000,0,983
45,15,15,0,985,1000,0,985
46,13,13,0,987,1000,0,987
47,11,11,0,989,1000,0,989
48,9,9,0,991,1000,0,991
49,8,8,0,992,1000,0,992
50,6,6,0,994,1000,0,994
51,6,6,0,994,1000,0,994
52,5,5,0,995,1000,0,995
53,5,5,0,995,1000,0,995
54,5,5,0,995,1000,0,995
55,4,4,0,996,1000,0,996
56,4,4,0,996,1000,0,996
57,3,3,0,997,1000,0,997
58,3,3,0,997,1000,0,997
59,1,1,0,999,1000,0,999
60,1,1,0,999,1000,0,999
61,1,1,0,999,1000,0,999
62,1,1,0,999,1000,0,999
63,1,1,0,999,1000,0,999
64,1,1,0,999,1000,0,999
65,1,1,0,999,1000,0,999
66,1,1,0,999,1000,0,999
67,1,1,0,999,1000,0,999
68,0,0,0,1000,1000,0,1000
